station,latitude,longitude
AAR,39.275936,-121.026962
AAS,38.430138,-121.109589
ABJ,39.165771,-121.192993
ABR,39.138126,-121.488167
ADW,38.438957,-120.84938
AFD,38.945961,-120.968971
AFH,39.039948,-120.795006
AFL,38.760869,-121.105383
AFO,38.944832,-120.96833
AFR,38.79221,-121.349266
AGI,38.844666,-120.981331
AHR,38.854839,-121.072037
ALA,38.567101,-120.956932
ALN,38.929131,-121.287041
AOD,38.614719,-120.730225
AOH,39.376266,-121.257668
APG,38.792645,-121.358589
APR,38.877029,-121.218231
ARJ,38.686256,-120.957603
ARR,38.764992,-121.172455
ARW,38.956333,-121.16217
ASM,38.823795,-120.684998
ASMB,38.82365,-120.68499
AVR,39.024307,-121.271881
BAP,36.18042,-121.644402
BAPB,36.18086,-121.64144
BAV,36.645954,-121.030151
BBG,36.577965,-121.039177
BBGB,36.578484,-121.039566
BBN,36.509998,-121.0755
BCC,36.5413,-121.74248
BCG,36.709618,-121.342842
BCGB,36.70746,-121.34651
BCW,36.306477,-121.566879
BCWB,36.305137,-121.565843
BEH,36.664803,-121.175385
BEM,36.661072,-121.096786
BHR,36.72747,-121.266541
BHS,36.355835,-121.539833
BHW,36.38445,-121.3781
BJC,36.547001,-121.392166
BJF,36.29283,-121.40327
BJO,36.610981,-121.314194
BJOB,36.610867,-121.314667
BKC,36.5802,-121.62623
BLR,36.667,-121.273315
BMS,36.663078,-120.792923
BPC,36.573399,-121.626862
BPE,36.405915,-121.491651
BPF,36.230331,-121.772003
BPI,36.490063,-121.169579
BPL,36.46538,-121.86833
BPO,36.228378,-121.7677
BPOB,36.22789,-121.76717
BPP,36.168667,-121.377998
BPR,36.407131,-121.73056
BPRB,36.407211,-121.730667
BPS,36.30537,-121.8991
BPV,36.70522,-121.25906
BRM,36.845051,-120.824654
BRV,36.424683,-121.018967
BSC,36.641666,-121.259834
BSG,36.413845,-121.25515
BSL,36.776535,-121.35009
BSM,36.383835,-121.42717
BSR,36.667431,-121.520325
BTI,36.10021,-121.43922
BTV,36.455281,-121.057975
BVL,36.574894,-121.190086
BVLB,36.571701,-121.185402
BVY,36.746239,-121.415764
C001,37.5215,-121.933762
C002,37.558453,-122.034508
C003,37.707207,-122.083969
C004,37.844063,-122.217949
C005,37.810753,-122.236076
C006,37.591782,-122.058243
C007,37.895573,-122.262802
C008,37.895649,-122.293594
C009,37.804863,-122.184097
C010,37.944004,-122.009933
C011,37.906418,-122.292381
C012,37.926361,-122.312477
C013,37.82383,-122.188614
C014,37.682693,-122.059998
C015,37.559444,-121.993729
C016,37.396355,-121.867027
C017,37.506489,-121.926201
C018,37.979298,-122.117378
C019,37.98365,-122.013863
C020,37.800846,-122.20752
C021,37.695004,-122.063759
C022,37.536137,-121.974953
C023,37.510437,-121.954002
C024,37.94334,-122.335838
C025,37.643719,-121.900459
C026,37.870518,-122.051353
C027,37.79351,-121.979668
C028,37.850948,-122.24588
C029,37.788818,-121.971252
C030,37.154915,-121.609894
C031,37.86322,-122.276932
C032,38.082508,-122.157593
C033,37.846699,-122.289543
C034,37.5728,-121.963318
C035,37.969803,-122.026917
C036,37.380238,-121.793114
C037,37.355148,-121.88485
C038,37.720459,-122.176537
C039,37.467072,-121.911598
C040,37.989658,-122.314095
C041,37.375698,-121.826088
C042,37.822262,-122.127678
C043,37.868481,-122.24855
C044,37.730778,-122.231194
C045,37.749619,-121.96196
C046,37.35363,-121.882538
C047,37.829147,-122.020287
C048,37.575089,-121.991661
C049,37.7766,-122.278458
C050,37.523972,-121.925606
C051,37.746651,-122.238609
C052,37.296249,-121.806625
C053,37.68539,-121.873352
C054,37.271191,-121.824417
C055,37.657448,-122.110352
C056,37.636311,-122.126358
C057,37.95554,-121.697876
C058,37.75642,-122.225761
C059,37.342571,-121.772369
C060,37.58482,-122.027122
C061,37.777912,-122.209702
C062,37.66753,-121.903427
C063,37.765137,-122.189087
C064,37.805119,-122.18457
C065,37.96294,-122.275887
C066,37.913239,-122.285843
C067,37.976093,-122.289551
C068,37.644638,-122.074051
C069,37.647751,-121.896057
C070,37.702782,-122.131828
C071,37.682144,-122.133217
C072,37.285805,-121.75589
C073,37.655788,-122.05423
CAC,37.976166,-121.76033
CAD,37.163918,-121.627647
CADB,37.16346,-121.62645
CAG,37.857269,-122.422661
CAI,37.861324,-122.430031
CAL,37.450348,-121.800369
CAO,37.34848,-121.534668
CAP,37.53291,-121.78951
CBK,37.875999,-122.248001
CBLG,37.7715,-118.898331
CBP,37.747665,-121.708427
CBR,37.816471,-122.063019
CBS,37.817783,-121.641296
CBSB,37.817783,-121.641296
CBW,37.924091,-122.107628
