wellbore,name,min,max,depth_type,date,elevation,water_flow
CLIA,CLIA01,7740,7940,TVD,29/12/2022,1397.47,1700
CLIA,CLIA02,7930,8050,TVD,03/01/2021,1397.47,1250
CLIA,CLIA02,8050,8140,TVD,03/01/2021,1397.47,2500
CLIA,CLIA04,7790,7890,TVD,05/01/2021,1397.47,4700
CLIA,CLIA04,7900,8060,TVD,05/01/2021,1397.47,4000
CLIA,CLIA04,8080,8100,TVD,05/01/2021,1397.47,700
CLIA,CLIA05,7820,7900,TVD,14/01/2021,1382.28,2750
CLIA,CLIA05,7900,7940,TVD,14/01/2021,1382.28,11000
CLIA,CA90,7750,8070,TVD,23/12/2020,1376,750
CLIA,CA90,8070,8120,TVD,23/12/2020,1376,3000
CRA,CAD01,7690,7740,MD,21/08/2019,1277,37500
CRA,CAD01,7740,7800,MD,21/08/2019,1277,12500
CRA,CRA03,8600,10400,MD,16/08/2019,1276.9,70000
CRA,CRA04,7010,7650,TVD,24/04/2019,1276.9,95000
CRA,CRA05,8800,8887.5,MD,11/03/2019,1306.30,7500
CRA,CRA05,9350,9625,MD,11/03/2019,1306.30,7500
CRA,CRA05,9800,9812.5,MD,11/03/2019,1306.30,30000
CRA,CRA06,8350,8512.5,MD,01/05/2019,1277.23,14000
CRA,CRA06,8662.5,8675,MD,01/05/2019,1277.23,13750
CRA,CRA07,8500,9550,MD,28/08/2019,1255.9,17000
CRA,CRA08ST,8912.5,10200,MD,27/06/2018,1255.9,16000
CRA,CRA09,7150,8070,TVD,29/10/2018,1255.9,50000
CRA,CRA10,9080,9100,MD,28/08/2019,1255.9,2500
CRA,CRA10,9120,9130,MD,28/08/2019,1255.9,2500
CRA,CRA10,9170,9180,MD,28/08/2019,1255.9,2500
CRA,CRA10,9310,9320,MD,28/08/2019,1255.9,2500
CRA,CRA10,9480,9490,MD,28/08/2019,1255.9,5000
CRA,CRA11,8800,8912.5,MD,29/08/2019,1255.9,1500
CRA,CRA11,9012.5,9075.5,MD,29/08/2019,1255.9,5000
CRA,CRA11,9225,9425,MD,29/08/2019,1255.9,1500
CRA,CRA11,9500,9572.5,MD,29/08/2019,1255.9,15000
CRA,CRA12,7790,7805,MD,24/08/2019,1255.25,5000
CRA,CRA12,7810,7825,MD,24/08/2019,1255.25,4000
CRA,CRA12,7830,7850,MD,24/08/2019,1255.25,1500
CRA,CRA12,7885,7900,MD,24/08/2019,1255.25,7500
CRA,CRA13,8300,8970,MD,30/10/2018,1255.25,60000
CRA,CRA19,9500,11200,MD,11/08/2019,1271.818,15000
CRA,CRA20ST,9562.5,10500,MD,24/07/2019,1271.81,2200
CRA,CRA21,9150,11175,MD,13/08/2019,1271.81,3000
CRA,CRA22ST,9587.5,10987.5,MD,12/08/2019,1271.81,5000









