wellbore,name,min,max,depth_type,date,elevation
CLIA,CLIA01,7740,7940,TVD,29/12/2022,1397.47
CLIA,CLIA02,7930,8140,TVD,03/01/2021,1397.47
CLIA,CLIA04,7790,7890,TVD,05/01/2021,1397.47
CLIA,CLIA04,7900,8060,TVD,05/01/2021,1397.47
CLIA,CLIA04,8080,8100,TVD,05/01/2021,1397.47
CLIA,CLIA05,7820,7940,TVD,14/01/2021,1382.28
CLIA,CA90,7750,8120,TVD,23/12/2020,1376
CLIA,CA90,7920,7900,TVD,23/12/2020,1376
CRA,CAD01,7690,7700,MD,21/08/2019,1277
CRA,CAD01,7720,7730,MD,21/08/2019,1277
CRA,CAD01,7790,7800,MD,21/08/2019,1277
CRA,CRA03,8600,10400,MD,16/08/2019,1276.9
CRA,CRA04,7010,7650,TVD,24/04/2019,1276.9
CRA,CRA05,8800,8887.5,MD,11/03/2019,1306.30
CRA,CRA05,9350,9625,MD,11/03/2019,1306.30
CRA,CRA05,9800,9812.5,MD,11/03/2019,1306.30
CRA,CRA06,8350,8512.5,MD,01/05/2019,1277.23
CRA,CRA06,8662.5,8675,MD,01/05/2019,1277.23
CRA,CRA07,8500,9550,MD,28/08/2019,1255.9
CRA,CRA08ST,8912.5,10200,MD,27/06/2018,1255.9
CRA,CRA09,7150,8070,TVD,29/10/2018,1255.9
CRA,CRA10,9080,9100,MD,28/08/2019,1255.9
CRA,CRA10,9120,9130,MD,28/08/2019,1255.9
CRA,CRA10,9170,9180,MD,28/08/2019,1255.9
CRA,CRA10,9310,9320,MD,28/08/2019,1255.9
CRA,CRA10,9480,9490,MD,28/08/2019,1255.9
CRA,CRA11,8800,8912.5,MD,29/08/2019,1255.9
CRA,CRA11,9012.5,9075.5,MD,29/08/2019,1255.9
CRA,CRA11,9225,9425,MD,29/08/2019,1255.9
CRA,CRA11,9500,9512.5,MD,29/08/2019,1255.9
CRA,CRA11,9550,9572.5,MD,29/08/2019,1255.9
CRA,CRA12,7790,7805,MD,24/08/2019,1255.25
CRA,CRA12,7810,7825,MD,24/08/2019,1255.25
CRA,CRA12,7830,7850,MD,24/08/2019,1255.25
CRA,CRA12,7885,7900,MD,24/08/2019,1255.25
CRA,CRA13,8300,8970,MD,30/10/2018,1255.25
CRA,CRA19,9500,11200,MD,11/08/2019,1271.818
CRA,CRA20ST,9562.5,10500,MD,24/07/2019,1271.81
CRA,CRA21,9150,11175,MD,13/08/2019,1271.81
CRA,CRA22ST,9587.5,10987.5,MD,12/08/2019,1271.81









