lon,lat,z,MD,TVD
-78.6616601787206,5.81852666328563,-55.7085040003148,324.0024,324.0024
-78.6616667721119,5.81852625910475,-17.6085040001624,362.1024000000001,364.8456
-78.6616642707624,5.81852722520301,11.3474959999534,391.0584,393.8016
-78.6616575105727,5.81852980331202,40.3004480000692,420.0144,422.7545520000001
-78.6616499214984,5.81853402739493,69.253400000185,448.9704,451.707504
-78.6616415152653,5.81853959491622,91.8086000002752,471.5256,474.262704
-78.6616333850019,5.81854521956601,97.9015520002996,477.6216,480.355656
-78.6616311112696,5.81854698716164,126.241856000413,505.968,508.69596
-78.6616182332467,5.81855793417103,155.194808000529,534.924,537.648912
-78.6616063743626,5.81856810427563,184.150808000645,563.88,566.604912
-78.6616042282031,5.81856939887765,213.10376000076,592.836,595.557864
-78.6616126038167,5.81856194894641,242.053664000876,621.792,624.5077679999999
-78.6616261850352,5.81854988220733,271.000520000992,650.748,653.4546240000001
-78.6616420674881,5.81853855925041,299.642576001106,679.3992000000001,682.09668
-78.6616589773178,5.81852751821464,328.897280001224,708.6600000000001,711.351384
-78.6616742921239,5.81851692324074,338.650880001263,718.4136000000001,721.1049840000001
-78.6616790048854,5.81851456485527,386.797088001455,766.572,769.2511920000001
-78.6617064578901,5.81850565497139,415.746992001571,795.528,798.201096
-78.6617251869345,5.81850204331783,443.175944001681,822.96,825.6300480000001
-78.661738003144,5.81849942642964,445.004744001688,824.7888,827.4588480000001
-78.6617384944885,5.81849923265558,473.957696001804,853.7448,856.4118000000001
-78.6617447236638,5.81849532619572,502.608896001918,882.3960000000001,885.063
-78.6617513230294,5.8184921277242,531.260096002033,911.0472,913.7142
-78.6617591675103,5.81849069827101,560.51784800215,940.308,942.971952
-78.6617610195196,5.8184915487781,589.473848002266,969.264,971.927952
-78.6617508431223,5.8184937669117,618.115904002381,997.9152,1000.570008
-78.6617317878546,5.8184953999628,647.364512002497,1027.1760000000002,1029.818616
-78.6617059658681,5.81849891684915,665.338568002569,1045.1592,1047.792672
-78.6616891951242,5.81850246717454,676.305272002613,1056.132,1058.759376
-78.6616802170127,5.81850490795427,705.258224002729,1085.088,1087.712328
-78.6616671646614,5.81851083012787,734.211176002845,1114.044,1116.66528
-78.6616679857478,5.81851729670353,736.039976002852,1115.8728,1118.49408
-78.6616683194675,5.81851780157477,763.167176002961,1143.0,1145.62128
-78.6616730770036,5.81852782194895,792.117080003076,1171.956,1174.571184
-78.661676548272,5.81854109612065,821.066984003192,1200.912,1203.521088
-78.66167828164,5.81855913541164,849.712088003307,1229.5632,1232.166192
-78.6616771087786,5.8185779477215,878.665040003423,1258.5192,1261.119144
-78.661671744368,5.81859082688644,907.313192003537,1287.1704,1289.7672960000002
-78.6616677532461,5.81859930307668,936.269192003653,1316.1264,1318.723296
-78.6616664471846,5.81860426387756,965.225192003769,1345.0824,1347.6792960000002
-78.661664488264,5.81860742280941,994.178144003885,1374.0384,1376.632248
-78.6616605263093,5.81861169515775,1022.524544004,1402.3848,1404.9786480000002
-78.6616568799784,5.81861308232312,1044.16534400409,1424.0256000000002,1426.619448
-78.6616595096909,5.81860904902208,1051.48054400411,1431.3408000000002,1433.9346480000002
-78.6616622460295,5.81860675927321,1079.80865600423,1459.6872,1462.26276
-78.6616838927289,5.81858884480934,1108.70064800434,1488.6432,1491.154752
-78.6617275104547,5.81855320260182,1137.82124000446,1517.904,1520.275344
-78.6617921210493,5.81849832857084,1165.91465600457,1546.2504,1548.36876
-78.6618757146352,5.81842495231935,1193.84043200468,1574.5968,1576.294536
-78.6619848613938,5.8183312541111,1221.24500000479,1602.6384,1603.699104
-78.6621192792459,5.81821878341917,1251.09101600491,1633.4232000000002,1633.54512
-78.6622924782117,5.81807799387158,1278.36147200502,1661.7696,1660.815576
-78.6624700191863,5.81793381520603,1282.73840000504,1666.3416,1665.192504
-78.6625002964393,5.81790891191368,1305.96111200513,1690.7256,1688.415216
-78.6626706452516,5.81776967234491,1333.58208800524,1719.9864,1716.036192
-78.6628897594967,5.81758652669852,1360.32524000535,1748.6376,1742.779344
-78.6631189770297,5.81738677977778,1386.43745600545,1776.9840000000002,1768.89156
-78.6633615296876,5.8171681284578,1409.41328000555,1802.2824,1791.867384
-78.6635906021013,5.81695450549319,1412.97944000556,1806.2448,1795.433544
-78.6636276523149,5.8169193393104,1438.79600000566,1835.2008,1821.250104
-78.6639070931221,5.81665003128354,1456.70300000574,1855.6224,1839.157104
-78.664116553464,5.8164486795736,1463.83532000576,1863.852,1846.289424
-78.664204968933,5.8163653214085,1488.72833600586,1893.1128,1871.18244
-78.6645381422892,5.816055491477,1512.78315200596,1922.0688,1895.237256
-78.6648906309196,5.81573397529547,1536.79224800606,1951.0248,1919.246352
-78.6652452946299,5.81541207758362,1561.36827200615,1980.2856,1943.822376
-78.6655939606095,5.81509682072781,1585.19144000625,2008.632,1967.645544
-78.665934578885,5.81479583709628,1595.35956800629,2020.824,1977.813672
-78.6660847680143,5.81466503079947,1609.55715200635,2037.8928,1992.011256
-78.6662961831525,5.81448093013981,1629.59470400643,2061.972,2012.048808
-78.6665935793632,5.81422062985656,1635.93759200645,2069.592,2018.391696
-78.6666874442766,5.81413809602786,1653.95432000652,2091.2328,2036.408424
-78.6669530767771,5.8139030455557,1677.76224800662,2119.884,2060.216352
-78.6673026708121,5.81358618681143,1701.87802400671,2149.1448,2084.332128
-78.6676549213151,5.81324498437637,1715.66108000677,2165.9088,2098.115184
-78.6678513382053,5.81304196563571,1725.74386400681,2178.1008,2108.197968
-78.6679900142817,5.81289383281123,1749.1220240069,2206.4472,2131.576128
-78.6683102618806,5.81254350429544,1772.737928007,2235.4032,2155.192032
-78.6686403467515,5.81217315135269,1796.07341600709,2264.3592000000003,2178.52752
-78.6689740593447,5.81179058619045,1819.65274400719,2293.9248,2202.1068480000004
-78.6693195192254,5.81139106834777,1842.26585600728,2322.576,2224.71996
-78.6696574795559,5.81099462996582,1865.02527200737,2351.8368,2247.479376
-78.6700068770999,5.81057679838362,1886.76665600745,2380.1832,2269.22076
-78.6703485499812,5.81016045500509,1908.96828800754,2409.444,2291.422392
-78.670701591001,5.80972000968106,1930.64871200763,2438.4,2313.102816
-78.6710502792302,5.8092710122202,1952.04567200772,2467.356,2334.499776
-78.6714103655613,5.80881921593145,1973.3633840078,2496.6168,2355.817488
-78.6717993431652,5.80837090254872,1994.04406400788,2525.5728,2376.498168
-78.6722163799842,5.80793981729561,2014.36812800797,2554.8336,2396.822232
-78.6726799895492,5.80752388851936,2034.03382400804,2583.7896,2416.487928
-78.6731782808611,5.80714067327879,2039.16970400806,2591.4096,2421.6238080000003
-78.6733150685386,5.80704566673302,2051.37999200811,2609.6976,2433.834096
